PDI Italia	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=2
PDI per Disabili	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=30
PDI Austria	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=23
PDI Benelux	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=26
PDI Danimarca	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=27
PDI Finlandia	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=40
PDI Francia	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=4
PDI Germania	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=5
PDI Inghilterra	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=3
PDI Spagna	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=18
PDI Svizzera	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=28
PDI Ungheria	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=29
PDI Utenti	http://www.poigps.com/modules.php?name=Downloads&d_op=viewdownload&cid=17
