; Readable locations in D:\Miei Programmi\RemakeOv2\Modellismo.ov2
;
; Longitude,    Latitude, "Name"
   7.58182 ,   45.06386 , "P.m. Di Plinio Mandriota(Grugliasco)TO->+390117808349"
   7.58539 ,   45.07080 , "Fast And Furious Sas Di Vincenza Rosa(Collegno)TO->+390114037146"
   7.62194 ,   45.01361 , "Mirafiori Di Zanellato Bruno(Torino)TO->+390113970945"
   7.62917 ,   45.06417 , "Arpellino Carlo & C. s.n.c. Ingrosso Gi(Torino)TO->+390117708583"
   7.63065 ,   45.07929 , "Polo(Torino)TO->+39011715329"
   7.63111 ,   45.07333 , "V.a.g. s.a.s. Ferramenta E(Torino)TO->+390117793088"
   7.63917 ,   45.03806 , "Happy Toys S.n.c. Di Gaggio Michele E Ga(Torino)TO->+39011393927"
   7.64806 ,   45.02194 , "Amati Spa(Torino)TO->+390116634629"
   7.65167 ,   45.07861 , "Rodriguez(Torino)TO->+390117741190"
   7.65167 ,   45.09556 , "L'aquilone(Torino)TO->+390114559518"
   7.66278 ,   45.09611 , "Bertana Giocattoli(Torino)TO->+390112217658"
   7.66593 ,   45.08142 , "Portigliatti(Torino)TO->+39011484678"
   7.67059 ,   45.10956 , "Spinner Di Matta Massimo(Torino)TO->+390112268042"
   7.67357 ,   45.04495 , "Amati(Torino)TO->+390116634629"
   7.67389 ,   45.10861 , "Spinner Di Matta(Torino)TO->+390112204843"
   7.68389 ,   45.06083 , "Isacco Di Umberto Pesce s.a.s. Ferrovia(Torino)TO->+390118178485"
   7.70583 ,   45.06889 , "Berruto Di Scaglione Giuseppe(Torino)TO->+390118172565"
   7.72135 ,   44.55065 , "Valfer Ferramenta Colori(Fossano)CN->+390172634147"
   7.73417 ,   45.18639 , "Technomodel Statico E Dinamico Di Dario(Leini')TO->+390119980634"
   7.74017 ,   44.82691 , "Tauro Model Di De Paoli Valter E C.(Carmagnola)TO->+390119713983"
   7.75000 ,   45.10250 , "Il Centro Del(Torino)TO->+390112979267"
   7.84000 ,   44.69722 , "Il Globo Cartoleria Di Stroppiana E Milano(Bra)CN->+39017244610"
   7.89056 ,   45.19167 , "Norisberghen Tutto Il(Chivasso)TO->+390119116864"
   7.95472 ,   44.68417 , "Hc Di Sardo A.(Roddi)CN->+390173615049"
   8.02306 ,   44.69222 , "De Filippi Gabriella Giornali Giocattoli(Alba)CN->+390173280490"
   8.20945 ,   44.90188 , "Modelkit(Asti)AT->+390141436750"
   8.45028 ,   45.13639 , "Riposio Giochi Di Luigi Previ(Casale Monferrato)AL->+39014255558"
   8.45065 ,   45.13795 , "Riposio Giochi Di Luigi Prev(Casale Monferrato)AL->+390142452453"
   8.46139 ,   45.13528 , "Cantele Franca & C. s.a.s. G(Casale Monferrato)AL->+390142453116"
   8.58547 ,   44.92928 , "Pirotti Modelsteam(San Michele)AL->+390131361330"
   8.61444 ,   44.91472 , "Orso Bruno Model Dream(Alessandria)AL->+390131441125"
   8.61469 ,   44.91484 , "Orso Bruno Demicheli Bruno(Alessandria)AL->+390131441125"
   8.78226 ,   44.79339 , "C S I Model Luigi Franceschi(Pozzolo Formigaro)AL->+390143418730"
   9.15417 ,   45.18500 , "Moro Angelo(Pavia)PV->+39038224776"
   9.17417 ,   45.18194 , "Magrotti Roberto Colorificio E(Pavia)PV->+39038221283"
   9.69548 ,   45.05407 , "Ho E Giocattoli(Piacenza)PC->+390523330855"
  10.02028 ,   45.13750 , "Cremona Hobby Giocattoli(Cremona)CR->+390372800368"
  10.02250 ,   45.13250 , "Dodici Cilindri Di Brolio Fabio(Cremona)CR->+39037239814"
  10.02262 ,   45.13448 , "Parmini s.n.c. Giocattoli(Cremona)CR->+39037237314"
  10.04139 ,   44.97889 , "Model & Fun S.a.s. Di Cavalli Giovanni(Busseto)PR->+39052492318"
  10.31944 ,   44.80361 , "Urban Legend Di Bonati Davide Magic Fume(Parma)PR->+390521239359"
  10.33332 ,   44.79903 , "Hobby Parma(Parma)PR->+390521234819"
  10.33628 ,   44.79558 , "Hobby Center Radioamatori Giocattoli(Parma)PR->+390521206933"
  10.35256 ,   44.78547 , "Fantasia Di Baroni Marco & C. s.n.c. Gio(Parma)PR->+390521483552"
  10.39458 ,   44.72717 , "Masini Di Masini Guido E C. S(Monticelli Terme)PR->+390521658172"
  10.55806 ,   44.72139 , "Model Assistance s.r.l. Ingrosso(Reggio Emilia)RE->+390522942874"
  10.63489 ,   44.69711 , "Bartoli Guido Giocattoli(Reggio Emilia)RE->+390522430934"
  10.63920 ,   44.70795 , "Bigi Di Bigi Roberto(Reggio Emilia)RE->+390522921239"
  10.78333 ,   44.54194 , "Di Gilioli Silvano s.a.s.(Sassuolo)MO->+390536807741"
  10.79528 ,   45.15694 , "Hobby Center(Mantova)MN->+390376221394"
  10.85288 ,   45.15993 , "Mantua Model Aereonavale(Mottella)MN->+390376374411"
  10.85998 ,   44.53048 , "Warm Up Di Ravazzini Dott.carlo(Maranello)MO->+390536943773"
  10.86250 ,   44.52694 , "Giorgio Giochi Giocattoli Cartoleria(Maranello)MO->+390536945156"
  10.86257 ,   44.53031 , "Warm Up Articoli Ferrari E(Maranello)MO->+390536945888"
  10.88279 ,   44.77962 , "Emporio Giocattoli E S.n.c. Di Eredi Biag(Carpi)MO->+39059694092"
  10.90306 ,   44.64917 , "Mobby Auto Navi Aero(Modena)MO->+39059335276"
  10.91750 ,   44.65056 , "Mary Model E Giocattoli Scientifici(Modena)MO->+39059243080"
  10.92056 ,   44.63472 , "L'aquilone Di Bedoni & Dugoni S.n.c. Gio(Modena)MO->+39059393328"
  10.93979 ,   44.65283 , "Pit Stop(Modena)MO->+39059452054"
  11.06278 ,   44.59306 , "Service Line Srl E Prototip(Castelfranco Emilia)MO->+39059927754"
   7.89361 ,   45.19472 , "Di Peretti Mario(Chivasso)TO->+390119111795"
   8.05306 ,   45.56861 , "Sereno Galantino Di O.sereno & C. s.n.c.(Biella)BI->+3901523285"
   8.17611 ,   45.56472 , "Il Maggiolino Di Brancaleon Luca & C. s(Cossato)BI->+39015922709"
   8.24583 ,   45.68833 , "Carli Laura Artigiana(Crevacuore)BI->+39015768160"
   8.27417 ,   46.08139 , "Il Regalo S.a.s. Giocattoli(Villadossola)VB->+39032451915"
   8.27722 ,   45.71500 , "Loss Giocattoli E S.a.s.(Borgosesia)VC->+39016323954"
   8.40444 ,   45.88250 , "La Nuova Faro s.r.l. Giocattoli Attrezzi(Omegna)VB->+39032361593"
   8.46806 ,   45.70389 , "True Modelling(Borgomanero)NO->+390322841000"
   8.55333 ,   45.75444 , "Piazzai Models S.a.s. Di Piazzai Maurizio(Arona)NO->+39032246901"
   8.60972 ,   45.44083 , "Allevi s.n.c.(Novara)NO->+390321629151"
   8.63648 ,   45.59767 , "L'erba Voglio Giocattoli(Oleggio)NO->+390321992390"
   8.66416 ,   45.50102 , "Mythos(Cameri)NO->+390321517219"
   8.66500 ,   45.84472 , "Hobby Due Foto Giochi(Besozzo)VA->+390332970993"
   8.81806 ,   45.68833 , "Hobby Point Di Carugati Barbar(Cassano Magnago)VA->+390331205181"
   8.82861 ,   45.81944 , "Fantasia Di Sottocasa Antonio Giocattol(Varese)VA->+390332240398"
   8.85444 ,   45.61333 , "Colorificio Cristallo Di Rioni A(Busto Arsizio)VA->+390331635783"
   8.85528 ,   45.32000 , "New Poker S.n.c.(Vigevano)PV->+390381690488"
   8.85833 ,   45.31250 , "Vigevano Di Mischiatti M.& C. Snc(Vigevano)PV->+390381692948"
   8.86778 ,   45.56306 , "Gieffeci Di Faustini Faustino &(Cesano Maderno)MI->+390362570078"
   8.87000 ,   45.70361 , "Tradate Sdf Di Boldrin Paolo &(Lonate Ceppino)VA->+390331844474"
   8.87972 ,   45.46500 , "Newsstand Sas Di Rebecchi Sabrina Edic(Magenta)MI->+390297298696"
   8.91167 ,   45.57722 , "Modesvil Confezioni Abb(San Giorgio Su Legnano)MI->+390331403643"
   8.91694 ,   45.59333 , "La Del Carroccio Di Bonanomi Giovanna(Legnano)MI->+390331547632"
   8.91722 ,   45.59278 , "Del Carroccio(Legnano)MI->+390331547632"
   8.92191 ,   45.39781 , "E E' Divertimento Di Boi Orlando(Abbiategrasso)MI->+39029466368"
   8.92778 ,   45.19639 , ""fassi Models"(Garlasco)PV->+390382800483"
   8.93083 ,   45.69139 , "Abc S.n.c. Di Brianza Andrea L(Locate Varesino)CO->+390331821342"
   8.96444 ,   45.43111 , "Pista sterrata automodelli(Albairate)MI-Pista>"
   8.97194 ,   45.55417 , "Sas(Nerviano)MI->+390331586046"
   9.00778 ,   45.61583 , "Emmebi Di Manara Paolo E C. Sas Articol(Uboldo)VA->+390296789940"
   9.03667 ,   45.62528 , "L'aquilone S.n.c. Di Robbiati E C. Arti(Saronno)VA->+39029622737"
   9.10361 ,   45.31361 , "Fioroni Di Moroni Vittorio(Casarile)MI->+390290096362"
   9.14250 ,   45.44861 , "Allori Pietrino(Milano)MI->+39024222281"
   9.17667 ,   45.45806 , "Modell'in Di Ciotta Anna Lucia & C. S.a(Milano)MI->+390289429092"
   9.20722 ,   45.46333 , "Zeppelin Di Bersani Aurelio & C. s.a.s.(Milano)MI->+390255182872"
   9.05139 ,   45.46528 , "Campo volo modellismo elicotteri(Settimo Milanese)MI-Campo volo>"
   9.13444 ,   45.46722 , "Scientific(Milano)MI->+39024049081"
   9.13193 ,   45.46850 , "Aeronavimodel Sergio Giocattoli(Milano)MI->+39024043920"
   9.14167 ,   45.47472 , "Donzelli Roberto(Milano)MI->+390248703179"
   9.20333 ,   45.47528 , "Clessi Guido Giocattoli(Milano)MI->+3902201880"
   9.19417 ,   45.47917 , "Movo E Giocattoli(Milano)MI->+39026554817"
   9.18722 ,   45.48222 , "Lo Scrigno S.a.s. Giocattoli E(Milano)MI->+39026595856"
   9.15154 ,   45.48781 , "Associazione Assogiocattoli Associazion(Milano)MI->+390239210458"
   9.20672 ,   45.49153 , "Corel soc.coop.r.l.(Milano)MI->+390266982895"
   9.13111 ,   45.49694 , "Pieri Model Racing Di Andrea Pieri(Milano)MI->+39023086998"
   9.16238 ,   45.50548 , "Terza Dimensione Snc Di Sara Meraviglia(Milano)MI->+390239325766"
   9.08972 ,   45.50861 , "Magistroni Alessio Negozio Di(Pero)MI->+390233910956"
