; Readable locations in D:\Miei Programmi\RemakeOv2\RO_radar.ov2
;
; Longitude,    Latitude, "Name"
  26.08064 ,   44.82464 , "Country: 8, Type: 138, Angle: -1"
  26.09833 ,   44.78472 , "Country: 8, Type: 138, Angle: -1"
  26.09840 ,   44.78510 , "Country: 8, Type: 138, Angle: -1"
  26.09840 ,   44.78510 , "Country: 8, Type: 138, Angle: -1"
  26.09855 ,   44.78520 , "Country: 8, Type: 138, Angle: -1"
  26.10917 ,   44.72667 , "Country: 8, Type: 138, Angle: -1"
  26.10948 ,   44.72725 , "Country: 8, Type: 138, Angle: -1"
  26.10948 ,   44.72725 , "Country: 8, Type: 138, Angle: -1"
  26.56172 ,   44.67980 , "Country: 8, Type: 138, Angle: -1"
  26.56172 ,   44.67980 , "Country: 8, Type: 138, Angle: -1"
  16.80584 ,   47.05711 , "Country: 8, Type: 138, Angle: -1"
  17.57330 ,   47.14115 , "Country: 8, Type: 138, Angle: -1"
  20.19196 ,   46.22393 , "Country: 8, Type: 138, Angle: -1"
  20.19196 ,   46.22393 , "Country: 8, Type: 138, Angle: -1"
  20.23052 ,   46.21609 , "Country: 8, Type: 138, Angle: -1"
  20.23052 ,   46.21609 , "Country: 8, Type: 138, Angle: -1"
  20.41709 ,   46.19262 , "Country: 8, Type: 138, Angle: -1"
  20.41709 ,   46.19262 , "Country: 8, Type: 138, Angle: -1"
  20.45583 ,   46.16504 , "Country: 8, Type: 138, Angle: -1"
  20.45583 ,   46.16504 , "Country: 8, Type: 138, Angle: -1"
  20.46970 ,   46.15260 , "Country: 8, Type: 138, Angle: -1"
  20.58770 ,   46.13530 , "Country: 8, Type: 138, Angle: -1"
  20.63166 ,   46.07782 , "Country: 8, Type: 138, Angle: -1"
  20.63166 ,   46.07782 , "Country: 8, Type: 138, Angle: -1"
  20.63166 ,   46.07782 , "Country: 8, Type: 138, Angle: -1"
  20.63166 ,   46.07782 , "Country: 8, Type: 138, Angle: -1"
  20.63166 ,   46.07782 , "Country: 8, Type: 138, Angle: -1"
  20.63166 ,   46.07782 , "Country: 8, Type: 138, Angle: -1"
  20.63166 ,   46.07782 , "Country: 8, Type: 138, Angle: -1"
  20.63176 ,   46.07380 , "Country: 8, Type: 138, Angle: -1"
  20.63176 ,   46.07380 , "Country: 8, Type: 138, Angle: -1"
